date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:21:30	195838/195838	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Mar%202022%2010:51:30%20GMT	https://websites.looka.com/site/a9d13461?showOriginal=true&preview=true&insitepreview=true&dm_device=desktop	C:/My%20Web%20Sites/cerod/websites.looka.com/site/a9d134618b7b.html	(from )
16:21:32	46/46	---MCZ	200	added ('OK')	text/plain	etag:W/%2226-1647286715433%22	https://websites.looka.com/robots.txt		(from )
16:21:35	238231/238231	---M-Z	200	added ('OK')	text/css	etag:%2270f0f679f8770db38bc296fd4dc469b8%22	https://static.cdn-website.com/mnlt/production/2382/_dm/s/rt/dist/css/d-css-runtime-desktop-one-package-new.min.css	C:/My%20Web%20Sites/cerod/static.cdn-website.com/mnlt/production/2382/_dm/s/rt/dist/css/d-css-runtime-desktop-one-package-new.min.css	(from https://websites.looka.com/site/a9d13461?showOriginal=true&preview=true&insitepreview=true&dm_device=desktop)
16:21:36	54226/54226	---MCZ	200	added ('OK')	text/css	etag:W/%22156412d5a5c0c6e3a97a39377ed90ef4%22	https://irp.cdn-website.com/WIDGET_CSS/production_2382/2ab06238fadc111cb27d396950534ebd.css	C:/My%20Web%20Sites/cerod/irp.cdn-website.com/WIDGET_CSS/production_2382/2ab06238fadc111cb27d396950534ebd.css	(from https://websites.looka.com/site/a9d13461?showOriginal=true&preview=true&insitepreview=true&dm_device=desktop)
16:21:37	288515/288515	---MCZ	200	added ('OK')	text/css	date:Tue,%2015%20Mar%202022%2010:51:38%20GMT	https://websites.looka.com/_dm/s/rt/generate_css/a9d13461.css?v=0&device=desktop&use_existing=true	C:/My%20Web%20Sites/cerod/websites.looka.com/_dm/s/rt/generate_css/a9d1346152cd.css	(from https://websites.looka.com/site/a9d13461?showOriginal=true&preview=true&insitepreview=true&dm_device=desktop)
16:21:38	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Tue,%2015%20Mar%202022%2010:51:39%20GMT	https://irt-cdn.multiscreensite.com/ce0bb35f932b47bb809d0e37905542ba/dms3rep/multi/site_background_education-2087x1173.jpg	C:/My%20Web%20Sites/cerod/irt-cdn.multiscreensite.com/ce0bb35f932b47bb809d0e37905542ba/dms3rep/multi/site_background_education-2087x1173.4.delayed	(from https://websites.looka.com/site/a9d13461?showOriginal=true&preview=true&insitepreview=true&dm_device=desktop)
16:21:39	62/62	---MCZ	200	added ('OK')	text/css	date:Tue,%2015%20Mar%202022%2010:51:40%20GMT	https://websites.looka.com/editor/css/one.preview.css?version=2022-03-14T11_51_52	C:/My%20Web%20Sites/cerod/websites.looka.com/editor/css/one.preview7ba0.css	(from https://websites.looka.com/site/a9d13461?showOriginal=true&preview=true&insitepreview=true&dm_device=desktop)
16:21:41	19628/19628	---M--	200	added ('OK')	image/png	etag:%229b741cda6a2ebf86ef073dd8c0ec75d6%22	https://irp-cdn.multiscreensite.com/-resellers-preview/test@looka.com/logo/uc265jhjvn9jpslje95c4mpg45.png	C:/My%20Web%20Sites/cerod/irp-cdn.multiscreensite.com/-resellers-preview/test@looka.com/logo/uc265jhjvn9jpslje95c4mpg45.png	(from https://websites.looka.com/site/a9d13461?showOriginal=true&preview=true&insitepreview=true&dm_device=desktop)
16:21:43	158627/158627	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Mar%202022%2010:51:43%20GMT	https://websites.looka.com/site/a9d13461/about?preview=true&insitepreview=true&dm_device=desktop	C:/My%20Web%20Sites/cerod/websites.looka.com/site/a9d13461/aboutf5b7.html	(from https://websites.looka.com/site/a9d13461?showOriginal=true&preview=true&insitepreview=true&dm_device=desktop)
16:21:43	195820/195820	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Mar%202022%2010:51:43%20GMT	https://websites.looka.com/site/a9d13461/?preview=true&insitepreview=true&dm_device=desktop	C:/My%20Web%20Sites/cerod/websites.looka.com/site/a9d13461/indexf5b7.html	(from https://websites.looka.com/site/a9d13461?showOriginal=true&preview=true&insitepreview=true&dm_device=desktop)
16:21:44	172822/172822	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Mar%202022%2010:51:44%20GMT	https://websites.looka.com/site/a9d13461/specialities?preview=true&insitepreview=true&dm_device=desktop	C:/My%20Web%20Sites/cerod/websites.looka.com/site/a9d13461/specialitiesf5b7.html	(from https://websites.looka.com/site/a9d13461?showOriginal=true&preview=true&insitepreview=true&dm_device=desktop)
16:21:46	161110/161110	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Mar%202022%2010:51:46%20GMT	https://websites.looka.com/site/a9d13461/contact?preview=true&insitepreview=true&dm_device=desktop	C:/My%20Web%20Sites/cerod/websites.looka.com/site/a9d13461/contactf5b7.html	(from https://websites.looka.com/site/a9d13461?showOriginal=true&preview=true&insitepreview=true&dm_device=desktop)
16:21:47	88841/88841	---M--	200	added ('OK')	image/png	etag:%225ddacb6afe28e6e969ac13f12944b4ca%22	https://s3.ca-central-1.amazonaws.com/logojoy/logos/76177530/noBgColor.png	C:/My%20Web%20Sites/cerod/s3.ca-central-1.amazonaws.com/logojoy/logos/76177530/noBgColor.png	(from https://websites.looka.com/site/a9d13461?showOriginal=true&preview=true&insitepreview=true&dm_device=desktop)
16:21:47	230243/230243	---M--	200	added ('OK')	image/jpeg	etag:%22476fc0e99afda28ef1e342ca857894a1%22	https://cdn.looka.com/assets-db/industry_photos/environmentalorganization/offering-1.jpg	C:/My%20Web%20Sites/cerod/cdn.looka.com/assets-db/industry_photos/environmentalorganization/offering-1.jpg	(from https://websites.looka.com/site/a9d13461?showOriginal=true&preview=true&insitepreview=true&dm_device=desktop)
16:21:48	221877/221877	---M--	200	added ('OK')	image/jpeg	etag:%22c5a4358bbf412770c618a52d01cd568f%22	https://cdn.looka.com/assets-db/industry_photos/environmentalorganization/1.jpg	C:/My%20Web%20Sites/cerod/cdn.looka.com/assets-db/industry_photos/environmentalorganization/1.jpg	(from https://websites.looka.com/site/a9d13461?showOriginal=true&preview=true&insitepreview=true&dm_device=desktop)
